login,ticket,type,amount,comment,time,date
711501,606121794,deposit,100.0,D #5097992 QR Code,1782117304,2026-06-22
11325036,41401922,deposit,30000.0,Deposit #:426060734107,1780816789,2026-06-07
46156695,161815136,fee,-768.88,CM Fee to 22749275#472145,1780272186,2026-06-01
46156695,162184578,withdrawal,-1218.0,Transfer to 11464820 #40320325,1780662683,2026-06-05
46156695,162243607,fee,-818.25,CM Fee to 22749275#479536,1780876876,2026-06-08
46156695,162263734,deposit,1.5,IB rebate (SARUJA) #4916,1780902524,2026-06-08
46156695,162445015,deposit,4.9,IB rebate (SARUJA) #4918,1781082220,2026-06-10
46156695,162527243,deposit,2.45,IB rebate (SARUJA) #4919,1781171350,2026-06-11
46156695,162609659,deposit,4.0,IB rebate (SARUJA) #4920,1781257687,2026-06-12
46156695,162641643,withdrawal,-1461.0,Transfer to 11464820 #40507247,1781296046,2026-06-12
46156695,162650109,fee,-617.24,CM Fee to 22749275#492320,1781481748,2026-06-15
46156695,162730314,deposit,1.25,IB rebate (SARUJA) #4924,1781598793,2026-06-16
46156695,162797735,deposit,1.25,IB rebate (SARUJA) #4925,1781686047,2026-06-17
46156695,162965843,deposit,3.3,IB rebate (SARUJA) #4927,1781861936,2026-06-19
46156695,162987853,withdrawal,-785.0,Transfer to 11464820 #40641887,1781892306,2026-06-19
46156695,162992015,deposit,1.3,IB rebate (SARUJA) #4928,1781943170,2026-06-20
46156695,162994685,fee,-419.77,CM Fee to 22749275#503645,1782086588,2026-06-22
97060181,674505307,deposit,30000.0,DElahkoCtA,1778839318,2026-05-15
97060181,678043793,withdrawal,-2028.0,TR97060181_Xe9uJWRrpH,1779098566,2026-05-18
97060181,684050748,deposit,30000.0,DE0hb0DHlk,1779253992,2026-05-20
97060181,684165262,withdrawal,-30000.0,TR97060181_HAo9DBLpmn,1779255638,2026-05-20
97060181,684840607,withdrawal,-8542.0,TR97060181_OMF1pIUAFm,1779269993,2026-05-20
97060181,685411083,withdrawal,-1400.0,TR97060181_s9zPP3lQ6b,1779284584,2026-05-20
97060181,688356441,withdrawal,-2630.0,TR97060181_MxffhAgiJ5,1779369811,2026-05-21
97060181,690992092,deposit,30000.0,TRWALLET(USD)_snJdCzyUj9,1779441991,2026-05-22
97060181,691821153,withdrawal,-9056.0,TR97060181_P5EE3soTrm,1779463845,2026-05-22
97060181,736320706,withdrawal,-342.0,TR97060181_RxGi4OEXx8,1781213689,2026-06-12
97060181,739234185,withdrawal,-445.0,TR97060181_9FuFr8ItLO,1781295836,2026-06-12
97060181,751547938,deposit,20000.0,TR97063065_wOvE86lJSq,1781856076,2026-06-19
97060181,751587377,deposit,30000.0,DESTfS6zQb,1781856852,2026-06-19
97060181,751892020,withdrawal,-20000.0,TR97060181_vRNyDKZRPG,1781864230,2026-06-19
97060181,751892901,withdrawal,-30000.0,TR97060181_lXbPth7aDi,1781864288,2026-06-19
97060181,752777260,withdrawal,-907.0,TR97060181_4ZM5h7ZG5m,1781903274,2026-06-20
97063065,691821177,deposit,9056.0,TR97060181_P5EE3soTrm,1779463849,2026-05-22
97063065,691821360,deposit,14600.0,TRWALLET(USD)_7AHVsr3SbB,1779463864,2026-05-22
97063065,691824158,deposit,6344.0,TRWALLET(USC)_IlQDwRdGis,1779463914,2026-05-22
97063065,736321002,withdrawal,-1045.0,TR97063065_5FCwE5hPZN,1781213707,2026-06-12
97063065,739234515,withdrawal,-927.0,TR97063065_UhUkX4bJOZ,1781295863,2026-06-12
97063065,751547752,withdrawal,-20000.0,TR97063065_wOvE86lJSq,1781856072,2026-06-19
97063065,751892056,deposit,20000.0,TR97060181_vRNyDKZRPG,1781864232,2026-06-19
97063065,752777224,withdrawal,-2629.0,TR97063065_QhgjfpPrW1,1781903258,2026-06-20
